ID SEX AGE WEIGHT
1107 M 16 303.07
1108 M 12 283.62
1109 M 18 305.91
1110 F 17 321.42
1111 F 19 338.99
1112 F 15 279.15
1113 F 17 212.53
1114 M 23 280.95
1115 M 12 286.17
1116 F 14 275.34
1117 F 23 297.05
1118 F 15 310.32
1119 M 12 264.46
1120 F 16 271.18
1121 M 22 291.94
1122 F 15 263.49
1123 M 13 282.74
1124 M 18 221.15
1125 M 14 246.4
1126 F 21 240.17
1127 F 14 254.39
1128 M 22 259.2
1129 M 12 291.47
1130 M 18 309.46
1131 F 24 258.18
1132 M 17 250.09
1133 F 23 248.75
1134 F 15 267.56
1135 F 16 272.83
1136 F 18 294.51
1137 F 14 270.36
1138 F 13 217.65
1139 F 19 277.26
1140 M 15 315.62
1141 F 17 315.75
1142 F 24 256.33
1143 F 21 233.57
1144 M 18 353.74
1145 F 22 275.13
1146 F 22 277.08
1147 F 17 292.62
1148 M 12 231.58
1149 F 17 258.15
1150 F 19 233.79
1151 M 14 259.21
1152 F 13 283.57
1153 M 22 239.06
1154 F 14 297.7
1155 M 12 288.68
1156 M 13 252.87
1157 M 13 286.79
1158 M 19 302.44
1159 M 21 311.83
1160 M 15 273.61
1161 M 20 277.19
1162 F 24 277.4
1163 F 18 323.24
1164 F 19 313.75
1165 M 24 305.03
1166 F 14 271.38
1167 M 17 291.2
1168 M 22 292.1
1169 F 17 248.75
1170 M 24 228.15
1171 F 19 299.25
1172 F 12 234.12
1173 F 23 280.05
1174 F 13 287.51
1175 M 16 296.92
1176 M 19 285.68
1177 M 19 258.01
1178 F 23 309.59
1179 F 18 332.16
1180 F 16 306.44
1181 F 12 221.69
1182 M 21 321.99
1183 M 22 278.32
1184 M 20 295.75
1185 M 20 298.66
1186 F 22 277.1
1187 F 18 277.74
1188 M 21 310.57
1189 M 15 301.35
1190 F 24 309.71
1191 F 19 351.49
1192 M 22 299.93
1193 M 15 286.22
1194 F 24 213.68
1195 F 14 360.75
1196 M 18 265.52
1197 M 12 351.24
1198 F 17 291.24
1199 M 24 326.15
1200 F 21 276.71
1201 F 23 295.34
1202 F 21 286.42
1203 F 12 274.42
1204 M 18 276.39
1205 F 16 310.39
1206 F 17 273.96
1207 F 21 218.87
1208 M 24 274.12
1209 F 17 296.19
1210 F 20 298.49
1211 F 19 298.5
1212 M 12 229.24
1213 M 17 291.06
1214 F 13 309.04
1215 F 19 318.3
1216 F 23 273.25
1217 F 21 270.34
1218 M 19 324.64
1219 F 20 229.96
1220 M 19 266.9
1221 F 20 293.72
1222 M 20 231.47
1223 M 15 288.39
1224 M 12 336.34
1225 F 14 279.88
1226 F 19 271.65
1227 M 13 294.25
1228 M 12 271.63
1229 F 20 304.4
1230 M 18 307.13
1231 M 18 280.08
1232 F 24 244.7
1233 F 24 240.45
1234 M 15 262.21
1235 F 23 303.92
1236 F 18 221.25
1237 F 15 223.41
1238 F 24 260.39
1239 F 23 291.83
1240 M 20 252.59
1241 M 22 306.6
1242 F 24 290
1243 M 15 274.88
1244 F 21 304.56
1245 M 20 291.65
1246 M 23 266.62
1247 M 19 286.93
1248 F 18 299.43
1249 F 20 290.69
1250 F 14 260.26
1251 M 12 305.66
1252 F 22 314.59
1253 F 18 288.29
1254 M 14 284.32
1255 M 18 277.73
1256 M 21 344.84
1257 M 14 288.29
1258 M 17 275.25
1259 F 18 204.76
1260 M 15 233.04
1261 F 21 277.67
1262 F 12 286.19
1263 F 19 288.31
1264 M 16 304.65
1265 F 14 274.18
1266 M 23 316.44
1267 F 16 252.35
1268 M 16 243.75
1269 M 23 243.13
1270 M 17 302.27
1271 M 20 277.51
1272 M 12 303.69
1273 M 15 271.97
1274 F 14 262.24
1275 M 16 268.95
1276 F 13 224.42
1277 M 12 244.91
1278 M 23 236.74
1279 M 15 311.63
1280 M 15 262.08
1281 F 22 303.68
1282 F 21 325.49
1283 M 21 274.25
1284 M 22 288.52
1285 M 16 227.47
1286 F 17 255.44
1287 F 15 281.69
1288 F 14 288.97
1289 M 14 257.22
1290 F 12 360.55
1291 M 18 266.25
1292 M 16 281.93
1293 M 24 299.49
1294 M 18 279.22
1295 M 20 260.69
1296 F 20 311.36
1297 F 19 328.47
1298 F 12 279.11
1299 M 16 296.87
1300 M 16 277.08
1301 F 19 310.49
1302 F 23 245.31
1303 M 13 349.63
1304 F 17 261.89
1305 M 13 236.23
1306 M 15 269.47
1307 F 21 284.4
1308 M 18 328.71
1309 M 17 307.34
1310 M 19 284.27
1311 F 12 238.32
1312 M 19 254.02
1313 F 22 275.1
1314 M 16 356.59
1315 F 22 224.19
1316 F 20 313.93
1317 F 19 264.18
1318 F 21 329.98
1319 M 15 245.82
1320 M 23 284.31
1321 M 20 247.01
1322 F 24 307.11
1323 M 20 324.51
1324 M 15 338.52
1325 F 14 303.93
1326 M 18 335.3
1327 M 15 317.39
1328 F 19 276.04
1329 M 19 294.31
1330 F 16 250.84
1331 F 16 274.44
1332 F 19 316.63
1333 M 17 296.24
1334 M 15 293.72
1335 M 14 248.86
1336 M 22 261.86
1337 F 21 257.06
1338 M 24 291.86
1339 M 18 250.28
1340 M 16 296.86
1341 M 19 246.51
1342 F 20 334.86
1343 F 22 293.82
1344 M 21 258.97
1345 F 14 287.23
1346 M 23 269.43
1347 M 21 291.13
1348 M 24 287.31
1349 F 22 249.58
1350 M 19 256.26
1351 M 14 288.99
1352 M 13 329.17
1353 F 21 312.54
1354 M 19 261.26
1355 M 23 304.78
1356 F 21 278.54
1357 M 18 289.04
1358 M 18 287.81
1359 M 17 357.26
1360 F 12 244.44
1361 F 15 283.03
1362 M 12 226.6
1363 M 16 297.7
1364 M 21 312.9
1365 F 24 323.37
1366 M 21 222.25
1367 F 13 292.38
1368 M 18 327.8
1369 F 19 267.58
1370 M 14 273.64
1371 M 13 278.9
1372 M 17 290.95
1373 F 22 299.95
1374 F 14 319.53
1375 M 20 277.14
1376 M 18 285.89
1377 F 20 354.64
1378 M 17 292.93
1379 M 19 285.66
1380 F 24 239.73
1381 M 20 280.09
1382 F 16 273.36
1383 F 18 279.67
1384 F 20 262.74
1385 F 13 259.4
1386 F 19 258.38
1387 F 20 273.56
1388 F 22 321.04
1389 F 19 311.47
1390 M 22 269.2
1391 F 15 229.42
1392 M 18 254.66
1393 M 19 266.27
1394 M 13 283.11
1395 M 23 260.12
1396 M 22 340.2
1397 M 17 271.83
1398 M 12 243.58
1399 F 22 275.76
1400 F 23 249.84
1401 M 21 284.68
1402 M 17 287.01
1403 M 16 290.67
1404 M 21 231.34
1405 M 20 286.62
1406 M 13 289.31
1407 F 14 237.37
1408 M 14 308.66
1409 F 13 303.53
1410 M 21 348.99
1411 F 19 284.7
1412 F 23 281.4
1413 F 24 282.9
1414 F 19 282.09
1415 F 13 224.55
1416 M 22 229.87
1417 F 17 277.67
1418 M 18 262.57
1419 M 12 281.64
1420 M 18 216.66
1421 M 24 235.04
1422 M 19 246.96
1423 M 17 309.58
1424 M 22 247.05
1425 M 21 256.01
1426 M 12 282.4
1427 F 18 270.32
1428 F 18 284.39
1429 M 23 349.15
1430 M 23 246.26
1431 M 14 270.84
1432 F 12 264.5
1433 F 19 325.37
1434 M 21 256.92
1435 F 22 277.54
1436 M 12 303.61
1437 F 12 248.24
1438 M 13 329.66
1439 F 13 300.27
1440 M 15 247.77
1441 M 22 293.64
1442 M 21 273.6
1443 F 21 289.4
1444 F 16 277.3
1445 M 20 312.12
1446 F 14 239.47
1447 F 18 264.32
1448 F 18 272.52
1449 F 13 250.13
1450 F 13 248.8
1451 F 23 279.46
1452 M 23 276.03
1453 F 23 203.52
1454 F 16 311.22
1455 F 24 287.49
1456 M 19 352.49
1457 F 15 300.56
1458 F 15 266.59
1459 M 18 363.92
1460 F 21 364.97
1461 F 16 243.44
1462 M 13 294.07
1463 F 13 273.66
1464 M 23 285.61
1465 M 24 286.83
1466 F 22 242.14
1467 F 14 288.57
1468 M 17 332.48
1469 F 13 275.08
1470 M 21 275.11
1471 M 20 321.96
1472 M 14 306.95
1473 F 24 230.55
1474 F 17 286.86
1475 M 14 329.61
1476 M 19 322.46
1477 M 24 292.6
1478 M 12 301.64
1479 F 13 244.09
1480 M 23 289
1481 F 22 251.37
1482 F 24 266.26
1483 F 16 308.07
1484 F 16 245.89
1485 M 15 288.01
1486 F 22 292.85
1487 F 18 281.65
1488 M 14 334.67
1489 F 21 249.33
1490 F 18 298.18
1491 M 21 277.33
1492 F 18 272.18
1493 M 13 293.92
1494 F 13 249.39
1495 F 13 240.6
1496 F 14 265.17
1497 F 19 332.55
1498 M 20 281.67
1499 M 12 289.94
1500 M 18 274.3
